image_path,label,class_name,width,height,file_size,is_valid,is_small,is_exact_duplicate,is_phash_duplicate,blur_score,brightness_mean,contrast_std,is_blurry,is_too_dark,is_too_bright,is_low_contrast,is_low_quality,error,file_hash,phash
data/dataset/algal_spot/20211226_102756 - Copy (3).jpg,0,algal_spot,256,256,5088,True,False,True,True,156.42188778868876,155.6551971435547,59.89472110902172,False,False,False,False,False,,3137322b4f3ef9a820795fe44444a827d815b3cc17c11897f39f2dc8f08b55f4,faaa85a07e1fa1e0
data/dataset/algal_spot/20211226_102756 - Copy.jpg,0,algal_spot,256,256,5088,True,False,True,True,156.42188778868876,155.6551971435547,59.89472110902172,False,False,False,False,False,,3137322b4f3ef9a820795fe44444a827d815b3cc17c11897f39f2dc8f08b55f4,faaa85a07e1fa1e0
data/dataset/algal_spot/20211226_102756.jpg,0,algal_spot,256,256,5088,True,False,True,True,156.42188778868876,155.6551971435547,59.89472110902172,False,False,False,False,False,,3137322b4f3ef9a820795fe44444a827d815b3cc17c11897f39f2dc8f08b55f4,faaa85a07e1fa1e0
data/dataset/algal_spot/20211226_102837 - Copy (3).jpg,0,algal_spot,256,256,5735,True,False,True,True,236.31347784562968,175.28042602539062,69.55354917294211,False,False,False,False,False,,023335e8675d1ad1355f9b95096448a2dc87cce3a40b62fdc588cef9011e1ebe,ea94956a5aa169d6
data/dataset/algal_spot/20211226_102837 - Copy.jpg,0,algal_spot,256,256,5735,True,False,True,True,236.31347784562968,175.28042602539062,69.55354917294211,False,False,False,False,False,,023335e8675d1ad1355f9b95096448a2dc87cce3a40b62fdc588cef9011e1ebe,ea94956a5aa169d6
data/dataset/algal_spot/20211226_102837.jpg,0,algal_spot,256,256,5735,True,False,True,True,236.31347784562968,175.28042602539062,69.55354917294211,False,False,False,False,False,,023335e8675d1ad1355f9b95096448a2dc87cce3a40b62fdc588cef9011e1ebe,ea94956a5aa169d6
data/dataset/algal_spot/20211226_102904 - Copy (3).jpg,0,algal_spot,256,256,5227,True,False,True,True,214.0048457235098,153.5358428955078,67.27655228972364,False,False,False,False,False,,8691357161ad41f3069e19ef3bc993ba22e7f2420ea46f939221fdab784db026,ffaa80505fa6e0d4
data/dataset/algal_spot/20211226_102904 - Copy.jpg,0,algal_spot,256,256,5227,True,False,True,True,214.0048457235098,153.5358428955078,67.27655228972364,False,False,False,False,False,,8691357161ad41f3069e19ef3bc993ba22e7f2420ea46f939221fdab784db026,ffaa80505fa6e0d4
data/dataset/algal_spot/20211226_102904.jpg,0,algal_spot,256,256,5227,True,False,True,True,214.0048457235098,153.5358428955078,67.27655228972364,False,False,False,False,False,,8691357161ad41f3069e19ef3bc993ba22e7f2420ea46f939221fdab784db026,ffaa80505fa6e0d4
data/dataset/algal_spot/20211226_102949 - Copy (3).jpg,0,algal_spot,256,256,5126,True,False,True,True,236.92227919003926,172.8451385498047,71.10625354839108,False,False,False,False,False,,404338eed7f92a581a9cb5bcff52fadc5fbeac5174b1047fa646f233a34dcf82,fe2bc1906e4bb03c
data/dataset/algal_spot/20211226_102949 - Copy.jpg,0,algal_spot,256,256,5126,True,False,True,True,236.92227919003926,172.8451385498047,71.10625354839108,False,False,False,False,False,,404338eed7f92a581a9cb5bcff52fadc5fbeac5174b1047fa646f233a34dcf82,fe2bc1906e4bb03c
data/dataset/algal_spot/20211226_102949.jpg,0,algal_spot,256,256,5126,True,False,True,True,236.92227919003926,172.8451385498047,71.10625354839108,False,False,False,False,False,,404338eed7f92a581a9cb5bcff52fadc5fbeac5174b1047fa646f233a34dcf82,fe2bc1906e4bb03c
data/dataset/algal_spot/20211226_103212 - Copy (3).jpg,0,algal_spot,256,256,6323,True,False,True,True,342.43464644416235,155.34043884277344,77.88747598450668,False,False,False,False,False,,75d5ccd4e175d5fe3c710d36bf2b7877e301dd2d2ceedec5797a5725c5d7a4ad,eaaa855e5f626885
data/dataset/algal_spot/20211226_103212 - Copy.jpg,0,algal_spot,256,256,6323,True,False,True,True,342.43464644416235,155.34043884277344,77.88747598450668,False,False,False,False,False,,75d5ccd4e175d5fe3c710d36bf2b7877e301dd2d2ceedec5797a5725c5d7a4ad,eaaa855e5f626885
data/dataset/algal_spot/20211226_103212.jpg,0,algal_spot,256,256,6323,True,False,True,True,342.43464644416235,155.34043884277344,77.88747598450668,False,False,False,False,False,,75d5ccd4e175d5fe3c710d36bf2b7877e301dd2d2ceedec5797a5725c5d7a4ad,eaaa855e5f626885
data/dataset/algal_spot/20211226_103244 - Copy (3).jpg,0,algal_spot,256,256,4693,True,False,True,True,191.830882727867,172.19845581054688,65.84368938586029,False,False,False,False,False,,19cfca986498ba7b8dc9d7a5a93f6be20b19431fe1d74ae05859a090c3033044,fbaa84b06e4ab1ac
data/dataset/algal_spot/20211226_103244 - Copy.jpg,0,algal_spot,256,256,4693,True,False,True,True,191.830882727867,172.19845581054688,65.84368938586029,False,False,False,False,False,,19cfca986498ba7b8dc9d7a5a93f6be20b19431fe1d74ae05859a090c3033044,fbaa84b06e4ab1ac
data/dataset/algal_spot/20211226_103244.jpg,0,algal_spot,256,256,4693,True,False,True,True,191.830882727867,172.19845581054688,65.84368938586029,False,False,False,False,False,,19cfca986498ba7b8dc9d7a5a93f6be20b19431fe1d74ae05859a090c3033044,fbaa84b06e4ab1ac
data/dataset/algal_spot/20211226_103338 - Copy (3).jpg,0,algal_spot,256,256,4774,True,False,True,True,188.659591663396,178.99996948242188,61.57631234842429,False,False,False,False,False,,40e65b7aac200faf633a085e725384b1933a1deaa47526c2bd8b4b7e6f31799a,ff90c06a2fb5b04a
data/dataset/algal_spot/20211226_103338 - Copy.jpg,0,algal_spot,256,256,4774,True,False,True,True,188.659591663396,178.99996948242188,61.57631234842429,False,False,False,False,False,,40e65b7aac200faf633a085e725384b1933a1deaa47526c2bd8b4b7e6f31799a,ff90c06a2fb5b04a
data/dataset/algal_spot/20211226_103338.jpg,0,algal_spot,256,256,4774,True,False,True,True,188.659591663396,178.99996948242188,61.57631234842429,False,False,False,False,False,,40e65b7aac200faf633a085e725384b1933a1deaa47526c2bd8b4b7e6f31799a,ff90c06a2fb5b04a
data/dataset/algal_spot/20211226_103354 - Copy (3).jpg,0,algal_spot,256,256,5485,True,False,True,True,222.5427691449877,177.79942321777344,66.40458044985326,False,False,False,False,False,,163d73ad62c65d2caabd7450feb11f70e87b0db3833dc1794f86a3c06d72153d,fa90812e7ee1a19e
data/dataset/algal_spot/20211226_103354 - Copy.jpg,0,algal_spot,256,256,5485,True,False,True,True,222.5427691449877,177.79942321777344,66.40458044985326,False,False,False,False,False,,163d73ad62c65d2caabd7450feb11f70e87b0db3833dc1794f86a3c06d72153d,fa90812e7ee1a19e
data/dataset/algal_spot/20211226_103354.jpg,0,algal_spot,256,256,5485,True,False,True,True,222.5427691449877,177.79942321777344,66.40458044985326,False,False,False,False,False,,163d73ad62c65d2caabd7450feb11f70e87b0db3833dc1794f86a3c06d72153d,fa90812e7ee1a19e
data/dataset/algal_spot/20211226_103431 - Copy (3).jpg,0,algal_spot,256,256,5024,True,False,True,True,194.00727030052803,155.94105529785156,67.11675432551125,False,False,False,False,False,,142f8950851d9d92578cc295fd8d53b2fe9e523495debd6d2529847944a837f5,f8aa87687a9721d2
data/dataset/algal_spot/20211226_103431 - Copy.jpg,0,algal_spot,256,256,5024,True,False,True,True,194.00727030052803,155.94105529785156,67.11675432551125,False,False,False,False,False,,142f8950851d9d92578cc295fd8d53b2fe9e523495debd6d2529847944a837f5,f8aa87687a9721d2
data/dataset/algal_spot/20211226_103431.jpg,0,algal_spot,256,256,5024,True,False,True,True,194.00727030052803,155.94105529785156,67.11675432551125,False,False,False,False,False,,142f8950851d9d92578cc295fd8d53b2fe9e523495debd6d2529847944a837f5,f8aa87687a9721d2
data/dataset/algal_spot/20211226_103528 - Copy (3).jpg,0,algal_spot,256,256,4998,True,False,True,True,155.72795098251663,175.46165466308594,64.99979971495871,False,False,False,False,False,,390afd930588064e5fbd993bde00e893a136a404874296c7e4cd94ac6f18618c,faaa85975e5a6029
data/dataset/algal_spot/20211226_103528 - Copy.jpg,0,algal_spot,256,256,4998,True,False,True,True,155.72795098251663,175.46165466308594,64.99979971495871,False,False,False,False,False,,390afd930588064e5fbd993bde00e893a136a404874296c7e4cd94ac6f18618c,faaa85975e5a6029
data/dataset/algal_spot/20211226_103528.jpg,0,algal_spot,256,256,4998,True,False,True,True,155.72795098251663,175.46165466308594,64.99979971495871,False,False,False,False,False,,390afd930588064e5fbd993bde00e893a136a404874296c7e4cd94ac6f18618c,faaa85975e5a6029
data/dataset/algal_spot/20211226_103558 - Copy (3).jpg,0,algal_spot,256,256,7968,True,False,True,True,571.4741955117788,153.98609924316406,73.39190596940966,False,False,False,False,False,,77bea9c6b50c3f1715760060687c604e38826b5be0d10faa79b24df3735bb4e8,eaa0950f5ff82ac1
data/dataset/algal_spot/20211226_103558 - Copy.jpg,0,algal_spot,256,256,7968,True,False,True,True,571.4741955117788,153.98609924316406,73.39190596940966,False,False,False,False,False,,77bea9c6b50c3f1715760060687c604e38826b5be0d10faa79b24df3735bb4e8,eaa0950f5ff82ac1
data/dataset/algal_spot/20211226_103558.jpg,0,algal_spot,256,256,7968,True,False,True,True,571.4741955117788,153.98609924316406,73.39190596940966,False,False,False,False,False,,77bea9c6b50c3f1715760060687c604e38826b5be0d10faa79b24df3735bb4e8,eaa0950f5ff82ac1
data/dataset/algal_spot/20211226_103611 - Copy (3).jpg,0,algal_spot,256,256,5501,True,False,True,True,224.37014692183584,179.60696411132812,66.31342825499856,False,False,False,False,False,,8d3f75f7a76e7cfa21a08be4e84fc66c20bf60e1cf82c79620c7bbb481211e3b,ea9495685ea5e0da
data/dataset/algal_spot/20211226_103611 - Copy.jpg,0,algal_spot,256,256,5501,True,False,True,True,224.37014692183584,179.60696411132812,66.31342825499856,False,False,False,False,False,,8d3f75f7a76e7cfa21a08be4e84fc66c20bf60e1cf82c79620c7bbb481211e3b,ea9495685ea5e0da
data/dataset/algal_spot/20211226_103611.jpg,0,algal_spot,256,256,5501,True,False,True,True,224.37014692183584,179.60696411132812,66.31342825499856,False,False,False,False,False,,8d3f75f7a76e7cfa21a08be4e84fc66c20bf60e1cf82c79620c7bbb481211e3b,ea9495685ea5e0da
data/dataset/algal_spot/20211226_103627 - Copy (3).jpg,0,algal_spot,256,256,6178,True,False,True,True,267.02520736213773,179.3064727783203,64.92379043201477,False,False,False,False,False,,a2bab4c055be99c1cd416eaf01947d78295eb7edf1e921d5f22913121b83d6d1,ef91d06a2bb534c2
data/dataset/algal_spot/20211226_103627 - Copy.jpg,0,algal_spot,256,256,6178,True,False,True,True,267.02520736213773,179.3064727783203,64.92379043201477,False,False,False,False,False,,a2bab4c055be99c1cd416eaf01947d78295eb7edf1e921d5f22913121b83d6d1,ef91d06a2bb534c2
data/dataset/algal_spot/20211226_103627.jpg,0,algal_spot,256,256,6178,True,False,True,True,267.02520736213773,179.3064727783203,64.92379043201477,False,False,False,False,False,,a2bab4c055be99c1cd416eaf01947d78295eb7edf1e921d5f22913121b83d6d1,ef91d06a2bb534c2
data/dataset/algal_spot/20211226_103655 - Copy (3).jpg,0,algal_spot,256,256,5313,True,False,True,True,224.45292132697068,176.48194885253906,68.34508585539898,False,False,False,False,False,,f01c821adc09c9a350f77e30cf5262cb8787a3a2f291863d77531817abfb7257,bf94d02b0bb4b5c2
